P1_001N,P13_001N,P11_001N,P11_002N,P11_005N,P11_006N,P11_008N,geo_id
69,51.5,64,2,9,1,41,421010002001015
239,36.1,204,6,72,12,109,421010002001016
187,34.1,174,9,121,11,30,421010002002004
59,39.5,50,4,6,1,36,421010002002005
156,22.1,154,9,88,16,35,421010002002006
174,31.6,160,0,48,1,105,421010002002008
10,47.5,10,0,3,5,0,421010002002009
4,38.5,4,1,3,0,0,421010002003005
19,40.5,11,0,7,0,1,421010002003007
37,31.5,33,5,15,0,11,421010002003008
37,28.8,35,4,0,0,26,421010002003009
144,30.5,114,0,27,1,84,421010002003010
17,23.5,11,0,1,1,9,421010002003011
8,37.0,8,0,0,2,6,421010002003013
38,25.5,27,4,9,5,8,421010002003014
218,46.8,207,11,37,116,42,421010002003015
12,45.0,11,0,3,0,6,421010002003016
15,65.3,14,4,4,5,0,421010002004000
19,49.5,19,5,11,3,0,421010002004002
122,51.7,109,4,92,1,10,421010008033002
229,30.0,214,9,166,9,26,421010008032006
513,59.2,504,19,424,9,51,421010008033001
138,29.4,129,15,91,6,7,421010008033003
144,43.3,136,10,113,0,12,421010008033004
1041,60.4,1013,24,878,17,75,421010008034000
323,37.5,312,30,222,11,34,421010008034001
918,34.3,899,56,629,31,117,421010008051000
636,38.0,602,47,491,14,47,421010008051001
57,66.5,51,2,45,3,1,421010008051002
147,63.5,138,2,124,0,6,421010008051003
15,26.8,11,3,2,4,2,421010008051004
37,60.5,37,2,34,0,0,421010008051005
102,29.6,100,4,75,1,12,421010008051006
263,28.0,254,14,180,4,40,421010008052000
34,31.6,34,2,17,0,13,421010008052001
80,53.1,66,12,30,20,0,421010008052002
120,20.8,119,9,82,14,9,421010008052003
41,34.5,38,3,29,5,1,421010008052004
137,30.8,133,5,100,0,21,421010008052005
190,35.0,167,10,111,7,33,421010008061000
94,27.2,87,8,61,1,7,421010008061001
769,53.5,740,37,604,25,56,421010008061002
430,31.8,415,11,331,19,36,421010008061003
110,29.4,99,3,70,9,17,421010008062000
15,26.5,11,3,0,5,0,421010008062001
960,32.8,917,49,724,19,96,421010008062002
134,34.5,122,13,88,4,8,421010008062003
263,31.4,259,14,197,14,32,421010009011000
63,30.1,56,2,47,0,6,421010009011001
91,29.0,90,10,61,11,8,421010009011002
148,29.6,148,23,84,13,20,421010009011003
62,31.1,54,1,46,0,5,421010009011005
124,32.5,100,6,72,13,7,421010087011003
179,31.5,166,1,114,13,26,421010087011000
233,29.7,193,16,117,20,29,421010087011001
214,28.9,182,5,130,13,21,421010087011002
169,35.1,143,4,102,4,28,421010087011004
273,28.4,241,31,167,18,12,421010087011005
205,27.8,183,26,112,4,37,421010087012000
373,29.0,343,10,186,42,91,421010087012001
411,29.5,354,21,143,50,120,421010087012002
240,27.8,209,13,136,15,33,421010087012003
114,33.0,99,9,27,39,18,421010087013000
56,32.1,40,7,17,3,10,421010087013001
181,28.8,167,11,77,55,21,421010087013002
37,37.3,37,9,5,13,6,421010087013003
286,28.7,266,26,90,44,91,421010087013004
107,29.7,84,3,32,19,29,421010087013005
102,30.0,90,7,43,20,16,421010087013006
188,27.8,137,6,34,9,78,421010087013007
246,27.4,212,27,91,23,60,421010087013009
236,28.2,195,6,106,31,38,421010087013010
198,27.5,155,20,50,17,63,421010087013011
175,24.9,157,15,105,13,22,421010087013012
10,29.0,8,3,0,2,0,421010087021000
37,26.4,27,5,11,4,1,421010087021001
65,30.2,60,5,21,0,31,421010087021002
250,26.0,243,20,74,47,98,421010087021003
408,24.0,384,17,147,75,124,421010087021004
218,26.4,205,2,95,13,84,421010087022000
70,29.4,66,14,20,0,21,421010087022001
18,19.7,18,8,6,0,4,421010087022002
86,31.4,77,10,32,9,18,421010087022003
419,32.0,353,15,162,11,149,421010087022004
199,28.1,173,1,88,25,54,421010087022005
254,36.0,187,8,5,171,1,421010118003000
150,47.5,119,1,0,112,3,421010118002003
9,33.8,6,2,0,4,0,421010169013023
57,55.5,46,1,0,44,0,421010169021000
85,39.6,63,1,3,59,0,421010169021001
156,60.8,137,2,3,132,0,421010118002004
211,28.5,155,4,0,143,4,421010118002005
225,43.9,178,3,5,167,0,421010118003001
216,41.0,166,4,0,154,0,421010118003002
221,35.5,181,0,0,176,0,421010118003003
222,32.5,170,3,1,165,0,421010118003005
168,41.3,144,11,0,129,0,421010118004000
103,52.5,81,7,1,71,0,421010118004001
4,23.0,3,0,0,0,0,421010118004002
84,36.0,69,0,0,67,0,421010118004003
38,53.7,32,0,0,31,0,421010118004004
177,49.3,151,6,0,137,0,421010118004005
126,46.6,106,4,8,91,0,421010118005000
205,40.6,181,9,15,154,3,421010118005001
87,39.5,67,1,0,62,0,421010118005002
98,57.5,82,4,0,75,0,421010118005003
102,39.0,81,4,4,68,0,421010118005004
123,47.9,98,2,3,90,0,421010118005005
125,48.4,112,1,4,103,0,421010118005006
152,47.9,114,1,0,105,0,421010118005007
97,33.8,83,5,0,72,3,421010118005008
127,35.8,95,5,4,84,0,421010118005010
53,25.5,39,1,8,24,2,421010118005011
29,49.9,26,0,0,24,0,421010118005012
120,43.5,108,0,20,88,0,421010118006000
107,34.4,90,0,3,78,0,421010118006001
91,48.5,77,0,1,62,0,421010118006002
107,32.9,70,2,1,67,0,421010118006003
137,39.1,111,1,1,102,0,421010118006004
118,44.3,93,1,10,80,0,421010118006005
78,36.0,58,1,2,45,0,421010169013014
57,50.3,45,2,0,42,0,421010169013011
42,32.0,33,6,0,27,0,421010169013012
100,33.0,71,0,0,68,0,421010169013013
15,30.6,12,3,0,8,0,421010169013015
42,33.0,39,1,2,31,1,421010169013016
9,49.5,8,0,3,0,0,421010169013017
16,32.5,10,2,0,8,0,421010169013018
59,41.8,39,0,0,38,0,421010169013020
34,34.0,31,9,1,17,0,421010169013021
70,22.6,46,0,1,44,0,421010169021004
84,28.8,52,0,0,52,0,421010169021005
75,42.2,47,2,0,45,0,421010169021006
91,28.5,70,1,0,68,0,421010169021007
64,44.8,46,0,0,43,0,421010169021008
72,26.3,47,0,0,45,0,421010169021009
97,36.8,77,4,0,72,0,421010169021010
95,46.4,79,2,0,77,0,421010169021011
114,40.3,75,2,0,73,0,421010169021012
41,58.5,36,1,0,35,0,421010169021013
